RecipeName,Calories,Protein,Carbohydrates,Fat,Ingredients,Instructions,DietType
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,45.6984,0.4994,9.4161,0.4688,"mango (ripe),sugar,saffron strands,cinnamon powder (dalchini)","To begin making Raw Mango Murabba Recipe, peel the mangoes and cut the in cubes and set aside.In a saucepan, add the sugar & 1/2 cup water and make a thin syrup.Once the syrup starts boiling, add the mango cubes, add the saffron strands & cinnamon powder, simmer on low flame, until the mango pieces are cooked.This will take 5 minutes more.Remove the Raw Mango Murabba from the flame & let the murabba cool.Once cooled, store the Raw Mango Murabba Recipe in a glass jar or steel jar.The Raw Mango Murabba Recipe can be stored for more than 6 months in the fridge & can be enjoyed with hot Spicy Yogurt Chapati Recipe or Whole Wheat Bread Recipe With Oatmeal And Flaxseeds.",Unknown
Royal Bread Gulab Jamun Recipe,233.7071,9.0227,19.8135,12.9422,"wheat brown bread,khoya (mawa),ghee,milk,sugar,badam (almond)","To begin making the Royal Bread Gulab Jamun Recipe, first combine the khoya and chopped dry fruits in a bowl and keep aside.Cut out the sides of the milk bread.Now dip each bread slice in milk and squeeze out the milk.Knead the bread slices to make a soft dough.
Knead the dough well and make small balls with the bread dough.Flatten the dough in the palm of your hands and place a small portion of the khoya and nuts mixture in the center.
Seal and cover the jamun and make small round balls.Proceed the same way with the remaining dough portions.In a saucepan, heat the sugar with 2 cups water and make a syrup of one string consistency.
Keep this aside.Heat oil or ghee for deep frying over medium heat.
Once the oil is heated, deep fry the bread jamun balls in the ghee until it turns golden brown.
Drain the excess oil and dip the Bread Jamuns in the sugar syrup.Allow the jamuns to soak well into the syrup and fluff up.
Once its absorbed the syrup and fluffed up the Bread Jamuns are ready to be served.Serve the Bread Gulab Jamun for a party at home or even for special occasions and festivals like Diwali, Holi and Raksha Bandhan.",Unknown
Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,150.7715,8.9743,2.643,11.6591,"salt,ginger,kashmiri red chilli powder,coriander (dhania) leaves,cloves garlic,tomato desseded,onion,kasuri methi (dried fenugreek leaves),chicken thighs skinless bless,coriander powder,turmeric powder,green chillies,garam masala powder,sunflower oil","To begin making Tomato Chicken Roast Recipe Flavoured With Kasuri Methi, get prep with all the ingredients first.In a kadai, heat a little oil on medium flame and once the oil is hot, addp garlic.
Fry them for a few seconds on low heat.
Do not let the garlic brown.Once the garlic looks cooked, add onions on medium heat and fry them till they are almost translucent.Once done, add the finely chopped tomatoes and saute well until mushy.
Add the ginger, green chillies, coriander, chilli, garam masala and turmeric powder, coriander leaves and salt.
Cook for a few minutes till the flavours are blended well.Add the chicken pieces and stir.
Cover and cook on a low heat till the chicken is tender.When the chicken is cooked and the gravy is thick, add kasuri methi.
Blend well and remove chicken roast from heat.
By this time, chicken would have the flavours of the added spices.Serve Tomato Chicken Roast Recipe Flavoured With Kasuri Methi along with Biyyapu Rotte Recipe (Rice Flour Roti) and Kadai Egg Masala Recipe by the side.",Unknown
Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,151.9527,2.5235,3.7794,14.0921,"salt,ginger,brinjal,cumin,mustard oil,red chilli powder,cloves garlic,mustard,onion,coriander powder,mango powder,garam masala powder","To make the brinjal mustard greens recipe, prepare all the ingredients first and keep them separately.
Cut the eggplant and keep it in salt water.
Wash the mustard thoroughly and cut it and keep it separately.
Now heat oil in a pan.
When the oil is very hot, add cumin seeds and let it splutter.
After the cumin seeds crackle, add onion, ginger, garlic and cook till the onion becomes soft.
After the onion becomes soft, add eggplant to it and cook it well.
Add water, cover the pan and cook it till the eggplant is cooked.
It will take 4 to 5 minutes.
Now add red chili powder, turmeric powder, coriander powder, garam masala powder, mango powder, salt and cook it for 2 minutes.
Now add mustard leaves and cook for 3 to 4 minutes.
Turn off the gas after cooking and serve.
Serve the Brinjal Mustard Saag Recipe along with Dal Tadka, Gourd Raita and Phulka for dinner.",Unknown
Stuffed Arbi Paratha Recipe,238.842,5.9583,36.6773,7.233,"salt,cumin powder (jeera),wheat flour,green chilli,amchur (dry mango powder),red chilli powder,coriander (dhania) leaves,colocasia root (arbi),coriander powder,turmeric powder,garam masala powder,sunflower oil","To begin making Stuffed Arbi Paratha Recipe, we will make the paratha dough.
In a large bowl add in 2 cups of whole wheat flour and some salt.Use your fingers and stir in the salt into the flour.
Add little water at a time and knead to make soft, pliable paratha dough.
Knead paratha dough for a couple of minutes until the dough is smooth and elastic.
Use the fold press and knead motion to make the dough smooth.Next add a teaspoon of oil to coat the paratha dough and knead little more.
You want a paratha dough that will be soft smooth and not sticky.
Divide the dough into 8 to 10 equal portions.
Cover the dough and allow the dough to rest until you get the filling ready.Pressure cook arbi with 1 cup water and salt for around 4 whistle and switch off the heat.Once it is pressure cooked, allow the pressure to release naturally and peel the skin.Mash the arbi into a coarse lumpy texture with your fingers or a fork.
Once mashed, add in the finely chopped green chillies, lots of freshly chopped coriander leaves,  salt to taste, half teaspoon of cumin powder, half a teaspoon of coriander powder, a teaspoon of dry mango powder, 1 teaspoon of garam masala, 1/2 teaspoon of turmeric powder and finally if you want it extra spicy, the red chilli powder.
Using your fingers again, mix all the ingredients into the arbi until well combined.Divide the arbi filling into 8 to 10 equal portions.
This process of dividing and keeping the portions of arbi paratha dough and filling ready, helps you gauge the number of parathas you can make and if you need more or less of the filling.The final step is to stuff the filling into the arbi paratha dough.We dust the paratha dough in flour, flatten it with your finger and place it on a flat surface.
Roll them out thin to approximately 3 inches in diameter circle.Take a portion of filling and place it in the center.
Next Gather the sides of the paratha dough and bring them together.
Remove the little excess dough which popped out when you brought them together.
Press the filled arbi paratha dough down.Dust the filled arbi paratha dough in some flour and roll it gently applying just a pressure.
Roll it to desired thickness and proceed the similar way with the remaining portions of paratha dough and filling.Preheat a skillet on medium heat and place the filled arbi paratha.
Allow it to cook on medium heat for about 30 to 45 seconds and flip over.Add this stage add a teaspoon of ghee or oil and spread it around.
Flip again, so the oiled side can cook on the skillet.
Spread a little more ghee and keep pressing the parathas while on the skillet to cook the paratha evenly from inside out.Do the flipping over process a couple of times until both sides get cooked, browned and crisp evenly.
Make sure you cook on medium heat as it allows the arbi parathas to get a crisp on the outside and yet soft texture.Once the arbi paratha is cooked transfer to a plate.
Continue to the same process with the remaining parathas the same way.Serve the Stuffed Arbi Paratha Recipe along with Palak Raita Recipe and Amla Mirchi Ka Achari Subzi Recipe by the side to make it a healthy breakfast.",Unknown
Bengali gram dal recipe,463.2381,14.0017,30.0189,31.6219,"salt,green chillies,ginger,mustard oil,ghee,coconut,bay leaf (tej patta),dry red chillies,cinnamon stick (dalchini),cumin seeds (jeera),cloves (laung),turmeric powder,chana dal (bengal gram dal)","To begin making Bengali Cholar Dal, first wash and soak chana dal in water for an hour or so.Cook soaked dal with 2-1/2 Cups of water , turmeric powder, salt to taste and cook dal for 8 whistles / 30 minutes until the dal is cooked completely.
See how to cook lentils (dals/pulses).
Let the pressure release naturally and keep aside.In a pan heat mustard oil over medium heat, add the coconut pieces and fry until they turn golden brown.
Turn off the heat.
Transfer the fried coconut pieces in a bowl.
Keep aside until required.In the same pan heat a tablespoon of mustard seeds and add cumin seeds, once seeds crackle add dry red chilies, cloves, bay leaf, cinnamon stick, green chilies and grated ginger.Saute for a few second and add the cooked dal and roasted copra into the pan.
 Briskly boil Bengali Style Cholar Dal for three to four minutes and turn off the heat.Transfer the Bengali Style Cholar Dal into a serving bowl; finally garnish with a few more of the roasted coconut pieces and serve hot.Serve the Bengali Cholar Dal with Begun Bhaja  and steamed rice for a wholesome weekend lunch or dinner.",Unknown
Kaju Badam Ladoo Recipe,306.7273,8.3576,9.1472,26.3069,"cashew nuts,water,sugar,badam (almond),ghee greasing,cardamom powder (elaichi)","To begin making the Kaju Badam Ladoo we will first soak the almonds in hot water for 15 minutes.
Once soaked, peel the skin from the almonds and keep aside.
Drain the water and wipe the almonds dry.Soak cashews for 15 to 20 minutes as well.
After soaking, drain and wipe dry.
Grind soaked almonds (badam) and cashews (kaju) together into smooth paste.
Keep this kaju badam paste aside.The next step is to make a sugar syrup for the ladoos.
Bring sugar and water to boil and wait until the sugar syrup reaches 1 string consistency.
It is very important to get the sugar syrup to 1 string consistency if you miss this step, the burfi/balls will be not set and harden.Once you have a one string consistency of the sugar syrup, add the cashew almond paste and the cardamon powder.
Mix the paste until well combined.
Keep flame to medium low and keep stirring the kaju badam mixture continuously.Big bubbles will begin to form and you need to keep mixing constantly, else they will start burning.
Keep stirring till the mixture becomes thick.
It will take you approximately 30 to 40 minutes until the mixture has thickened and comes away from the sides of the pan and starts looking like a very soft dough.To test, pinch a tiny piece of dough and roll into ball and place it on a plate, if the ball holds it's shape then it is cooked properly, the mixture is ready.
If you prefer to cut them into diamonds or square shapes, grease a pan with ghee all over and transfer the dough into the pan and level it even.
Since I wanted to shape them into balls I waited until the dough cooled a bit and then while it was still warm I rolled them into bite size balls.Kaju Badam Ladoo to cool completely and store them in airtight container for about 5 days or refrigerate it for longer storage.Serve Kaju Badam Ladoo after your everyday meal of Jodhpuri Aloo, Ajwain Puri and Boondi Raita.",Unknown
Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe,56.5343,2.4975,8.7164,1.1386,"turmeric powder,salt,ginger,coriander,red chilli powder,cloves garlic,onion,coriander powder,mango powder","To make the Bharwa Onion Vegetable Recipe, first make two cuts on the top of the onion.
Take care not to cut it completely.
In a mixing bowl, add red chili powder, turmeric powder, mango powder, coriander powder, salt and mix.
Add a little water to it and make a paste.
With the help of your hand, fill this spice inside the onion.
Keep the remaining paste separately.
Now heat oil in a pan.
Add ginger, garlic and cook for 30 seconds.
After 30 seconds, add the filled onions, remaining paste and mix it.
Now take hot water in a bowl and put tamarind in it.
After 3 to 4 minutes, remove the tamarind and put the tamarind water in the onion.
Cover the pan and cook till the onion becomes soft.
Between the bitches After cooking, garnish with green coriander and serve.
Serve the Bharwa Onion Vegetable Recipe along with Punchmel Dal, Bundi Raita and Phulka for dinner.",Unknown
Vegan Navratan Korma Recipe,256.9821,4.4207,8.1055,23.2302,"pistachios,carrot,onion,edible silver foilleaf (chandi ka vark),turmeric powder,green chillies,black cardamom (badi elaichi),pineapple,cardamom (elaichi) podsseeds,raisins,mint leaves (pudina),tofu,garam masala powder,green beans (french beans),coconut yogurt,cauliflower (gobi),coconut oil cold pressed,red chilli powder,coconut milk,cashew nuts,ginger,saffron strands,ginger garlic paste,badam (almond),poppy seeds,potato (aloo),cloves (laung)","To begin making the Vegan Navratan Korma, soak cashews and almonds reserved for the paste in water for 40 minutes.
Grind this to a smooth paste along with poppy seeds and set aside.Chop all the vegetables and gather all the ingredients required for the korma.Steam the vegetables with a pinch of salt until tender, make sure they hold the shape.Grind the poppy seeds, cashew and almonds into a smooth paste, adding little water.
Keep the nut-seed mixture aside.In a large pan heat some oil, add cloves, cinnamon, green cardamom and black cardamom, now add sliced onions, ginger and garlic paste and saute this the raw smell disappears, add green chillies and cook briefly.
Let this mixture cool down to room temperature.Now add these ingredients into a mixie jar and grind to smooth.Return this gravy into the pan add turmeric powder, red chilli powder and some salt and cook for 3-4 minutes.Now to this mixture add the coconut yogurt, coconut milk and the nut-seed paste and mix to well and cook for 4-5 minutes or until the korma thickens.Add the cooked vegetables, tofu and a cup of water and cook until the korma comes together.
This should take around 4-5 minutes.
Add little water to loosen the korma if required.
Add salt and adjust the seasoning.
Finally sprinkle the garam masala if using and give it a stir.In a small pan heat some coconut oil and gently fry cashews and sultanas, turn off the heat add sliced almonds and pistachios and roast for a few seconds.
Spoon the Vegan Navratan Korma into a serving bowl, place the chandi ka varq if using, top it with cashews, sultanas, almonds and pistachios.
Now arrange slices of pineapple, saffron and mint leaves on top.Serve the Vegan Navratan Korma along with a Paneer Pulao with Green Peas and Tadka Raita Recipe (Spiced Curd With Onions) to make a delicious weeknight dinner or even serve as a main course for parties.",Unknown
Banana Pomegranate Raita Recipe - Kela Anar Raita,71.0788,2.6127,11.7941,1.0139,"salt,yogurt,red chilli powder,sugar,cumin powder take out,dijon mustard,pomegranate,banana","To make Banana Pomegranate Raita, firstly add curd, salt, red chili powder, sugar, Dejon mustard and cumin powder in a bowl.
Mix well.
After mixing, add pomegranate and banana.
Put the bowl in the fridge for 2 hours and mix.
Serve.
Serve banana pomegranate raita with gourd elder greens and phulka for dinner.",Unknown
Dhania Wale Aloo Recipe - Coriander Potato Dry,120.0963,2.0928,7.3127,8.9582,"cumin powder (jeera),sesame seeds (til seeds) dry,ginger,green chilli,ghee,coriander (dhania) leaves,lemon,baby potatoes,black pepper powder,salt you can the normal salt too,garam masala powder","To begin making the Dhania Wale Aloo Recipe, wash and boil the baby potatoes in a pressure cooker to two whistles (until they are cooked yet firm), peel and keep aside.Also, dry roast sesame seeds in a pan in low heat to golden brown colour and keep aside.Next, add all the ingredients mentioned in the 'Dhania Chutney' including coriander leaves, green chillies, ginger and grind it to a smooth paste with little water using a hand blender or mixer and keep aside.Heat ghee in a heavy bottomed pan on low flame, add the cumin seeds powder, pepper, garam masala and sendha namak or rock salt.Add the boiled baby potatoes and sauté until they are mildly roasted in low heat.
This will take around 10 minutes.Now, add the dhania chutney that we prepared earlier to the potatoes and give it a good toss.Let the potatoes simmer for 10 minutes, occasionally stir in-between, until the potatoes are well coated by the masala paste.Switch off the flame, add the lemon juice and give it a good toss.Garnish with toasted sesame seeds and serve hot.
Serve Dhania Wale Aloo along with Phulkas and Palak Raita for a weekday lunch or dinner.",Unknown
Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,146.9435,3.0046,9.9995,9.6168,"salt,coriander (dhania),ginger,ghee,red chilli powder,gram flour (besan),curd,dry red chillies,onion,cumin seeds (jeera),bhindi (lady fingerokra),turmeric powder,garam masala powder,sunflower oil","To begin making the Dahi Bhindi Recipe, we will first roast the Bhindi .Heat 2 tablespoons of oil in a Wok or a Kadai; add the chopped onions and the bhindi (okra).
Sprinkle some salt and sauté the bhindi and the onions on low heat.
Keep the pan covered for the few minutes so the bhindi gets cooked.When covered the bhindi releases moisture, but this moisture helps it to cook and soften as well.Once you notice that it has released a little moisture and the bhindi is slightly softened, open the pan and stir fry the bhindi until it is well roasted.
Make sure you roast it on medium heat.
Roast the Bhindi until you notice it has begun to shrink and has browned.
It should not become sticky, slimy and gooey.
If it has turned this way, add a little more oil and sprinkle some gram flour/besan and stir it gently.
This will absorb the sliminess.The bhindi is a tricky vegetable to cook, so it takes some practice to not making it gooey.Once the bhindi is cooked and well roasted, keep it aside till we prepare the yogurt gravy.To make the Yogurt Curry, add the yogurt into a saucepan; add the gram flour, grated ginger, garam masala powder,  turmeric powder and chili powder.
Whisk until smooth.
Add in 1/4 cup of water and whisk again until well combined.Place the saucepan on a medium heat and allow the yogurt mixture to come to a brisk boil.
Allow it to boil for a couple of minutes and then turn the heat to low.
Simmer the mixture until the yogurt becomes thick and creamy.
Once thick and creamy, add in the roasted bhindi and stir.
Simmer for a few more minutes.
Check the salt and spice levels and adjust to suit your taste.Turn off the heat and transfer the Dahi Bhindi a serving bowl.
The final step is to make the seasoning.
Heat a tablespoon of ghee in a Tadka Pan.
Add the cumin seeds, dry red chilies and roast them until lightly browned.Pour this seasoning and the caramelized onions into the Dahi Bhindi.
Stir to mix gently and finally stir in the chopped coriander leaves.Serve the Dahi Bhindi along with Phulka Recipe  or Steamed Rice and  Green Moong Sprout Salad for a simple weeknight dinner or even a weekend lunch.",Unknown
Palak Paneer Bhurji Recipe - Palak Paneer Bhurji Recipe,196.7997,8.6531,2.4013,17.0026,"cheese,tomato,salt,cumin,spinach,red chilli powder,cloves garlic,onion,oil,mango powder,green chillies,butter,garam masala powder","To make the Palak Paneer Bhurji recipe, firstly make paneer.
You can also buy cheese from outside.
Steal the cheese and keep it aside.
Now heat oil in a pan.
Add cumin seeds and let it crackle.
After the cumin seeds crackle, add ginger, garlic, green chillies, onions and cook them till the onions turn light brown.
Now add tomatoes and cook till they become soft.
Add the spinach and cook until the spinach is cooked.
Now add red chili powder, garam masala powder, mango powder, paneer and mix well.
Add the butter and cook for 3 to 4 minutes.
After cooking, turn off the gas and serve hot.
Serve the spinach paneer bhurji with dal makhni, boondi raita and phulka for dinner.",Unknown
Milk Powder Chena Burfi Recipe,188.4104,8.6096,20.0776,8.3214,"cardamom (elaichi) podsseeds,ghee,pistachios,milk,saffron strands,white vinegar lime juice,sugar,yellow food colour,condensed milk,milk powder","To begin making the Milk Powder Chena Burfi recipe, we need to prepare chena first.
Boil the milk on high heat in a thick bottomed pan.As soon as milk starts boiling turn the heat medium and then add white vinegar or lime juice in it.
Keep on stirring the milk very slowly with a spoon.In about 2-3 minutes complete whey will be separated from chena, pour the curdled milk into pan or bowl lined with a thin cotton napkin.Once you are done adding all the curdle milk then bring together the edges of the cotton napkin and gently squeeze out the remaining whey from it.Rinse the collected bundle of chena in water, by this you will get rid of the after taste and smell of both lime juice or vinegar, keep a weight on the chenna bundle for 6 to 7 minutes.Chena is ready now.Now mash the chena coarsely and add sugar, condensed milk, cardamom powder and ghee.
Mix well.Now heat the mixture in a thick bottom pan.When sugar completely dissolve add milk powder and cook on medium heat with constant stirring until the mixture become thick and starts leaving the sides of the pan.Switch off the flame and spread onto a greased plate.
And garnish with pistachios and saffron.Cool and cut into squares or your desire shapes.
Now your delicious Milk powder chena burfi is ready to serve.Serve Milk Powder Chena Burfi during festivals or you can serve it as a dessert after your meals or during your house parties.
You can also serve it as a dessert after your everyday meal of Jodhpuri Aloo, Ajwain Puri and Boondi Raita.",Unknown
Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,190.5963,8.6962,8.6609,13.3378,"tomato,pistachios,cloves garlic,onion,cardamom powder (elaichi),turmeric powder,sunflower oil,paneer cubes,salt,green chilli,cardamom (elaichi) podsseeds,raisins,mace (javitri),star anise,red chilli powder,curd,kasuri methi (dried fenugreek leaves),cashew nuts,ginger,bay leaf (tej patta),gram flour (besan),badam (almond),cinnamon stick (dalchini),coriander powder,cloves (laung)","To begin making Stuffed Paneer In Kofta Curry Recipe, we will begin with the stuffing for the panner.
Scoop out or cut out little paneer from the center of each cube.
You can use a melon scooper or with a small spoon.
Transfer the scooped out paneer to a bowl, crumble / grate and set aside.Heat oil in a heavy bottomed pan.
Add finely chopped green chillies and ginger, sauté until the ginger is fragrant.Add raisins and chopped nuts, sauté another 30 seconds.
Add this mixture to crumbled paneer along with, turmeric powder, besan, salt and cardamom powder.
Mix well to come.
Adjust the salt according to taste.Stuff this paneer and nut mixture in scooped out paneer cubes and press firmly.
Heat a teaspoon of oil in a pan over medium heat.
Add the stuffed paneer pieces and pan fry the paneer cubes until lightly golden on both sides.
Once done remove from the pan and keep aside.
To begin making the kofta curry, grind the onion, ginger and garlic to a smooth paste.
Keep aside.Grind the cashewnuts along with a little water and make a smooth paste.
Keep aside.
Heat oil in a pan over medium heat;  add the whole spices and saute it for a few seconds until you can smell the aromas coming through.
Add the ginger garlic and onion paste and saute for about a minute until the raw smell goes away.At this stage, add the turmeric powder, coriander powder, and red chilli powder.
Adding the condiments to the onion ginger garlic paste helps further reduce the raw smell.
Saute for a few seconds and then add the tomato puree, cashewnut puree, salt to taste and the fresh cream.
 Add a little water to adjust the consistency of the kofta gravy.
Simmer this kofta curry for 3 to 4 minutes until the flavors combine well.
Once done, turn off the heat, stir in the kasuri methi and check the salt and spices.
Adjust to suit your taste.Transfer the kofta curry to a serving bowl and when you are ready to serve, place the stuffed paneer in the curry and serve warm.
Serve your Stuffed Paneer Baskets with Punjabi Dal Tadka, Mixed Vegetable Pulao (Pilaf), Butter Garlic Naan, Kela Anar Raita for a perfect weekend dinner with family and friends.",Unknown
Spicy Baby Potatoes Recipe,115.4267,1.5346,6.5471,9.0146,"salt,cumin powder (jeera),amchur (dry mango powder),coriander (dhania) leaves,red chilli powder,dry red chilli,curry leaves,cumin seeds (jeera),lemon,baby potatoes,coriander powder,turmeric powder,garam masala powder,sunflower oil","To begin making the Spicy Baby Potatoes recipe, pressure cook the baby potatoes and keep aside to cool.
Peel off the skin and collect the boiled potatoes in a bowl.Heat oil in a wok/kadhai and add dry red chilies, curry leaves, cumin and let them crackle.Now add all the spices (coriander powder, red chili powder, amchur, cumin powder, garam masala powder and turmeric).
Saute it for few seconds, don't burn it.Add the baby potatoes and mix well with the spice mix.
Fry for 6-7 minutes in medium flames till everything incorporates well and the flavors gets along with the potatoes.Adjust salt as per your taste and add some lemon juice and mix again.Turn off the heat, add lot of chopped coriander and give a quick stir.
Serve Spicy Baby Potatoes along with Phulkas and Panchmel Dal for a weekday lunch or dinner.",Unknown
Phalguni Dal (Recipe),207.0786,10.2254,23.1546,7.8897,"tomato,green chillies,turmeric powder,ginger,salt,cumin seeds,aniseed,kalonji seeds,mustard oil,cloves garlic,mustard,fenugreek seeds,onion,asafetida,lentils,green peas,garam masala powder","To make phalguni dal, first put dal in a pressure cooker.
Add tomatoes, onions, ginger and garlic to it.
After this, add 1-1 / 2 cups of water.
Melt, close the cooker and cook till 3 cities come.
After coming to 3 cities, turn off the gas and let the pressure drain automatically.
Open the cooker and mash the lentils.
Now heat mustard oil in a pan.
Add mustard seeds, fenugreek seeds, fennel seeds, cumin seeds and kalonji.
Add green chilies, mix and let it cook for the next 2 minutes.
After 2 minutes add asafetida and green peas.
Let it cook for next 2 minutes.
After 2 minutes add masoor dal, garam masala and salt.
Mix and cook for 3 to 4 minutes.
Garnish with green coriander.
Serve phalguni dal with brinjal bhaja and rice for dinner.",Unknown
Gawar Phali Masala Sabzi Recipe - Cluster Beans Gravy Sabzi,127.8423,4.5535,7.6148,9.036,"tomato,salt,ginger,mustard oil,asafoetida (hing),coriander (dhania) leaves,ajwain (carom seeds),jaggery,red chilli powder,cloves garlic,water,gawar phali (kothavarangai cluster beans),onion,peanuts (moongphali),coriander powder,turmeric powder","To begin making the Gawar Phali Masala Sabzi Recipe, into a preheated pressure cooker add oil.
Once the oil is hot add the ajwain, asafoetida, onion, garlic, ginger and saute until the onions soften and turn golden brown in colour.
Once done add the tomatoes, turmeric powder, red chili powder, coriander powder and jaggery.
Saute until the tomatoes become soft and mushy.
Once the tomatoes have turned soft add the gawar phali, raw peanuts, salt to taste and water.Close the pressure cooker with its lid and pressure cook the gawar phali masala sabzi for 2 whistles.After two whistles turn off the heat and release the pressure immediately.Stir in coriander leaves and transfer the Gawar Phali Masala Sabzi into a serving bowl and serve hot.Serve the Gawar Phali Masala Sabzi along with  Phulka, Jeera Rice & Kachumber Salad for a weekday meal.",Unknown
Lacha Onion Recipe - Masala Pickled Onions,40.1189,1.6433,6.9844,0.2744,"salt,black salt,chaat masala powder,red chilli powder,onion,lemon","To begin making the Simple Lacha Pyaz Recipe - Pickled Onions  into a mixing bowl add the onion rings, lemon juice and sprinkle black salt to taste.
Mix well to combine.
Cover the bowl and allow the onions to rest in the lemon juice for about an hour.The Simple Lacha Pyaz Recipe - Pickled Onions are ready to be served after an hour.To make the Masala Lacha Pyaz Recipe - Pickled OnionsInto a mixing bowl add the onion rings, lemon juice, red chilli powder, chaat masala powder and salt to taste.
Mix well to combine.Cover the bowl and allow the onions to rest in the lemon juice for about an hour.
The Masala Lacha Pyaz Recipe - Pickled Onions are ready to be served after an hour.Serve the Pickled Onions along with a meal Smoked Tandoori Paneer Tikka, Smoked Dal Makhani Dhaba Style and Pudina Tawa Paratha.",Unknown
Tofu Bhurji Recipe - Spicy Scrambled Tofu,132.5294,8.5061,2.8789,10.0692,"tomato,salt,red bell pepper (capsicum),green chilli,red chilli powder,coriander (dhania) leaves,onion,cumin seeds (jeera),black pepper powder,tofu,turmeric powder,sunflower oil","To begin making the Tofu Bhurji Recipe, firstly crumble the tofu and keep it aside.Heat a tablespoon of butter in a heavy bottomed pan; add the cumin seeds, onion, capsicum, green chillies and ginger.
Saute the onions and capsicum on low to medium heat until they are soft and tender.Once the onions and capsicum are soft, add the tomatoes, turmeric powder, red chilli powder and give it a good stir.Finally, stir in the crumbled tofu and salt to taste.
Stir well, check the salt and spice levels and adjust to suit your taste.Serve the Tofu Bhurji Recipe along with a Toasted Bread or just plain Indian bread like Phulka and a Dal of your choice like Panchmel Dal, Palak Dal etc to enjoy your dinner.",Unknown
Navrang dal recipe - Navrang Dal (Recipe),226.4132,10.922,29.1198,7.4764,"tomato,kasoori methi,onion,white urad dal,salt,rajma,green chilli,kabuli chana,dal sugar,coriander powder,arhar dal,garam masala powder,kali urad dal,masoor dal (split),red chilli powder,green moong dal,ginger finely,ghee,ginger garlic paste,masoor dal,cumin seeds,yellow moong dal","To make Navrang dal, first soak all the lentils overnight.
Soak pili moong dal and arhar dal for 20 minutes.
Put the lentils in the pressure cooker in the morning and cook till 3 years come.
After the cooker cools, mash the pour and keep it aside.
Now heat oil in a pan and add ghee to it.
After that add cinnamon, cumin and let it cook for 15 seconds.
After 15 seconds, add onion and let it cook till it turns light brown.
Now add garlic ginger paste and let it cook for 2 minutes.
After 2 minutes, add chopped tomatoes, green chilies and cook till the tomatoes soften slightly.
Now add coriander powder, red chili powder, garam masala powder and cook for 3 minutes.
After 3 minutes, add the cooked lentils, salt, water as per the usage and let it cook for 10 minutes.
After 10 minutes, add Kasuri methi to it and mix.
After 2 minutes, add ginger to it and turn off the gas.
Serve Navrang dal with gram flour and chilli vegetable and phulka for dinner.",Unknown
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy Recipe,106.091,2.9753,10.728,5.1198,"tomato,salt,mustard seeds,asafoetida (hing),chaat masala powder,red chilli powder,water,gram flour (besan),ginger garlic paste,curd,onion,cumin seeds (jeera),bhindi (lady fingerokra),coriander powder,turmeric powder,green chillies,sunflower oil","To begin making the Kurkuri Bhindi With Spicy Tomato Yogurt Gravy, firstly we will make the crispy bhindi.Wash the bhindi, make a cut, take out the seeds and then thinly slice all of the bhindis.Take a mixing bowl, add the bhindi and all the ingredients mentioned under ‘for the crispy bhindi’.Heat oil in a deep frying pan, and deep fry the bhindi till they become crisp.
Take them out on a absorbent paper to absorb the excess oil.Once done, keep them aside.Next heat oil in a heavy bottomed pan and add mustard seeds, cumin seeds, hing and ginger garlic paste.After 30 seconds, add the green chillies and onions.
Cook till the onions becomes soft and translucent.Next, add the tomatoes and cook for about 3 minutes or till the tomatoes gets mushy.Add all the dry masalas including red chilli powder, turmeric powder, salt and coriander powder.Cook for about 5 to 6 minutes and then add curd in it.
Stir continuously for about a minute.
Add water if required.Let it cook for about 5 minutes more and when it is cooked properly, add the chopped coriander leaves.Now mix the crispy bhindi on the gravy, give a stir and serve hot.
Serve Kurkuri Bhindi With Spicy Tomato Yogurt Gravy along with Panchmel Dal, Phulkas and Rice for a perfect weekday meal.",Unknown
